,date,username,user_location,tweet,num_of_like,num_of_retweet,num_of_followers,num_of_reply
0,2023-04-30 20:44:54+00:00,Lugh_Moriggan,Bailiwick of Jersey,"@JohnnyDineen Very much so, especially in the USPGA when rarely have weather to contend with. Like the Old Course in St Andrews, if the wind doesn't blow they rip it apart, if it picks up suddenly aren't many who'll break par. Which has happened also at the Irish open when played on links!",1,0,274,0
1,2023-04-30 19:51:45+00:00,_johndunne,"Dublin City, Ireland","Irish weather in 1 picture…. Clear blue skies, a red sky and rain clouds … even the weather is a bit bipolar this evening 🤣😍 https://t.co/CSqwdHzhYs",5,0,1867,0
2,2023-04-30 19:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","20:00 IST: Forecast for the next 12 hours: Settled fine
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
3,2023-04-30 19:05:11+00:00,_m3dvsa_,Earth,"British&amp; Irish Island will b inhabitable. Not even talk of Scandinavia &amp; Iceland. Especially for a older&amp; older population will be hard to stand the bad weather which will be a constant... Consider only Ireland and UK count 72 mln ppl but cold will affect over 150mln
#GulfStream",0,0,99,0
4,2023-04-30 19:01:00+00:00,LuckyUniverse2,,"Typical Irish weather
#rain 
(From yesterday and rn) https://t.co/COaqTytMs6",1,0,10,0
5,2023-04-30 18:17:13+00:00,JLGallagher3,"Origin be Oregon. Sandy, OR ",@faithful_irish Our weather has been crazy it was snowing 3 weeks ago and yesterday was 87 degrees. Today is 59. It’s not normal lol,1,0,674,0
6,2023-04-30 17:57:28+00:00,poolnoodle93,"Manhattan, NY",irish coffee weather in nyc https://t.co/sMb0jucc2H,1,0,773,0
7,2023-04-30 16:25:22+00:00,FOSFUSA,New York City,"""Irish-America has been key. This is not an issue of romanticism. Sentimentality wouldn't survive two days of Irish weather. Irish Americans are proud of their family histories &amp; see the potential in Ireland."" 
@c1aranquinn's latest 'Letter from Ireland'.

https://t.co/yLVlp3K4Pp",91,22,6234,17
8,2023-04-30 16:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","16:59 IST: Forecast for the next 12 hours: Settled fine
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
9,2023-04-30 15:17:03+00:00,NayNayKoh,Dublin,"Sun, rain, thunder and hailstones in the space of an hour Irish weather is broken today 🤣",3,0,219,0
10,2023-04-30 14:49:11+00:00,Mad_For_Movies,"Dublin City, Ireland",It's been one of those kind of days. Irish weather in a nutshell 🌦 https://t.co/toijKFhBAQ,0,0,761,0
11,2023-04-30 14:03:29+00:00,2NIACF,Northern Ireland,"This w/e Cadets are taking part in their bronze &amp; silver DofE qualifying expeditions. Despite the ever changing lovely Northern Irish weather, cadets remain in high spirits &amp; we wish them all the best for the remainder of their journey 🏔️ https://t.co/lShiM1yDPm",14,0,1907,0
12,2023-04-30 13:45:49+00:00,IrishOpen_,"The K Club, Ireland","Tough lie. 
Irish weather. 
No problem for @RickieFowler 🔥🔥

#HorizonIrishOpen ⏮️ https://t.co/sx859D26OT",8,0,23087,0
13,2023-04-30 13:32:26+00:00,Jal_il,Nigeria,"The Irish weather is something, was literally a sunny 17 degree day a few seconds ago and now it’s hailing #bipolarweather",0,0,226,0
14,2023-04-30 13:19:51+00:00,tasmgweter,16 she/he,So sick and tired of Irish weather 😭,1,0,166,1
15,2023-04-30 10:42:45+00:00,irlSmileyFace,"Calgooba, Bagoobaland",Irish weather is always Random XD but esp here,0,0,73,0
16,2023-04-30 10:37:07+00:00,drdominee,"Wyoming, MI",I love getting Irish ads and seeing Irish weather forecasts in the morning #Ireland https://t.co/z6bp3kVozF,7,0,2815,0
17,2023-04-30 10:15:04+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","10:59 IST: Forecast for the next 12 hours: Fine weather
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
18,2023-04-30 07:30:05+00:00,Independent_ie,Dublin,Irish weather: Showers expected to turn heavy with a chance of thunder https://t.co/evGZLm0h3f,5,0,800946,1
19,2023-04-30 05:43:34+00:00,beezknez,Beehive Cluster Kafkaesque,one of my favourite well actually not ice cream I love pistachio gelato Oow and Irish cream scorched almond haven’t had for ages if it was warmer weather I might be tempted 💛🐝🌏🐾 enjoy your day when it begins x,4,0,8855,1
20,2023-04-30 05:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","05:59 IST: Forecast for the next 12 hours: Fine, becoming less settled
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
21,2023-04-30 02:16:33+00:00,calgarysnow,"Kanata, Ontario","@carlystarr82 Northern Irish accent is … mangled. Southern Irish much better. Glad you got good weather, every single time I went to NI it pissed it down even in July for the whole time I was there",0,0,123,0
22,2023-04-29 23:07:04+00:00,weather_katie,"Lansing, MI","@NycStormChaser @Irish_Creem @KevinRothWx Many new chasers try to emulate their ‘weather idols’ while chasing, and that includes reckless driving for the sake of getting the shot. I’ve seen it happen. We need to set better examples.",2,0,13625,0
23,2023-04-29 23:05:30+00:00,weather_katie,"Lansing, MI","@NycStormChaser @Irish_Creem @KevinRothWx Stas ran stops signs while chasing, drove around law enforcement, and drove off the road. Reed has been caught speeding, running stops signs, and driving on the wrong side of the road. Many ‘extreme’ storm chasers show that they break the law while chasing. Others see that.",0,0,13625,1
24,2023-04-29 23:00:45+00:00,KevinRothWx,"Houston, TX","@Irish_Creem @NycStormChaser @weather_katie Yeah I don’t want to get into weird storm-chaser drama because I truly (I mean TRULY) don’t care and am gonna mute this, but “a storm chaser smashing into someone is fine, teenagers do it because of phones!” is almost as bad as the “storms didn’t play a role in this!” take.",2,0,63146,2
25,2023-04-29 22:58:56+00:00,NycStormChaser,"New York, NY",@Irish_Creem @KevinRothWx @weather_katie The point is that its up to each individual storm chaser to make sure they are driving safely. Extreme chasers who chose to zero meter tornadoes aren't responsible.,0,0,15449,1
26,2023-04-29 22:55:50+00:00,Irish_Creem,Starbase 80,"@NycStormChaser @KevinRothWx @weather_katie What does this have to do with the initial example she is commenting on? That one was caused by storm chasing, not grandma on her cell phone while driving. Poor counter argument",2,0,418,2
27,2023-04-29 21:06:23+00:00,fiddler_mean,,"@AndyHerbert19 @IreNews8 @mclovinORfogel @EireAnalysis @WolvesAcademy @wolvesfancast @WolvesFC_latest @reptracker @htomufc @PLYouth @TalkingWolves @jamesallcott @GM_Pod @FTalentScout I just prefer Irish born player's. 
It's the Irish national team after all! I'm not interested in English player's not good enough for England claiming Irish decent to have an international career. 
People born in the UK are by their definition British,weather they like it or not",0,0,4,1
28,2023-04-29 19:15:05+00:00,dunleerweather,"Dunleer, Co. Louth, Ireland","19:59 IST: Forecast for the next 12 hours: Settled fine
#Weather #Ireland #Louth #IrishWeather @MetEireann",0,0,98,0
29,2023-04-29 18:44:35+00:00,farmersforlife1,"Sligo, Ireland",@businessposthq @think_or_swim Can’t see much climate change to be honest . Same shite Irish weather as every other year,4,0,44,0
30,2023-04-29 18:15:11+00:00,shivroyandshit,Ireland ,The Irish weather was not on my side waiting for the bus (it’s warm and sunny though) 🌦 https://t.co/skej2noStW,0,0,379,0
31,2023-04-29 17:53:48+00:00,titi_omodara,Abuja ,@AmeAdonis Pepper and yam are from many states in the North but Irish potatoes 🥔 is solely from plateau  state cos their weather there,1,0,1184,1
32,2023-04-29 17:33:57+00:00,StephenHerdman,"Belfast, Northern Ireland","Just shy of 500 miles into the journey so far and was able to see some ""Spectacular"" sights at both Mizen Head and Sheep's Head! Typical Irish weather.  #WildAtlanticWay https://t.co/91Fjj2WSVj",41,1,670,3
33,2023-04-29 17:30:56+00:00,Irish_Creem,Starbase 80,"@KMCHASING @PeppercornParty @weather_katie If that's how much time you need to react to a vehicle in front of you, yes.",1,0,418,0
34,2023-04-29 17:05:20+00:00,eR_Nephy,,"Typical Irish weather, one minute it's super hot, the next it's cold and raining 😂",4,0,825,1
35,2023-04-29 16:41:58+00:00,wilmabedrock1,belfast,This winter weather is just harassment now 😭😭😭#irishweather,0,0,784,0
36,2023-04-29 16:30:01+00:00,IrishCentral,New York City,"""Just be ready for the weather to change, and you will be prepared for Irish weather."" https://t.co/pmi60ThVmA",7,1,42010,0
